X,Y
1,2685.400
2,2718.518
3,2705.295
4,2676.883
5,2626.052
6,2580.955
7,2545.080
8,2512.359
9,2490.249
10,2459.205
11,2445.018
12,2423.331
13,2406.799
14,1246.831
15,1237.164
16,1222.374
17,1210.666
18,1195.345
19,1187.922
20,1174.790
21,1167.218
22,1160.433
23,1156.312
24,1154.193
25,1166.032
26,1156.600
27,1143.634
28,1140.319
29,1132.510
30,1124.190
31,1120.391
32,1113.525
33,1107.969
34,1110.455
35,1109.563
36,1117.139
37,1111.278
38,1105.339
39,1094.623
40,1085.133
41,1083.840
42,1081.518
43,1077.492
44,1062.851
45,1062.919
46,1061.129
47,1074.550
48,1067.473
49,1059.697
50,1052.363
51,1052.640
52,1053.779
53,1047.639
54,1045.697
55,1041.219
56,1040.071
57,1036.755
58,1042.398
59,1040.431
60,1035.262
61,1028.604
62,1024.563
63,1018.811
64,1017.582
65,1011.996
66,1010.525
67,1004.561
68,1006.669
69,1015.106
70,1006.589
71,997.952
72,993.562
73,990.134
74,984.048
75,985.090
76,978.508
77,980.232
78,980.247
79,978.038
80,986.151
81,980.218
82,977.475
83,972.889
84,970.057
85,967.197
86,964.332
87,961.855
88,958.622
89,957.815
90,954.805
91,968.337
92,963.040
93,958.802
94,956.140
95,952.371
96,951.013
97,944.281
98,942.687
99,944.151
100,934.765
101,935.340
102,945.519
103,943.824
104,940.346
105,936.037
106,928.722
107,925.642
108,920.785
109,920.479
110,916.869
111,918.112
112,916.189
113,929.189
114,926.614
115,923.141
116,918.687
117,911.857
118,910.064
119,909.668
120,907.185
121,905.995
122,906.376
123,900.986
124,918.332
125,914.546
126,906.161
127,904.865
128,899.530
129,900.694
130,899.678
131,899.190
132,896.787
133,895.733
134,888.194
135,900.378
136,896.689
137,894.642
138,888.187
139,889.099
140,884.410
141,879.731
142,877.955
143,877.925
144,878.426
145,874.628
146,886.346
147,886.062
148,882.012
149,876.868
150,873.702
151,871.389
152,870.170
153,869.392
154,869.554
155,865.378
156,867.008
157,880.307
158,876.110
159,872.672
160,871.944
161,869.902
162,866.933
163,861.302
164,861.646
165,861.604
166,856.928
167,854.877
168,869.174
169,870.368
170,866.227
171,862.236
172,860.664
173,859.417
174,854.923
175,853.039
176,852.884
177,851.879
178,851.962
179,866.879
180,860.919
181,855.227
182,851.903
183,851.726
184,847.816
185,846.865
186,844.647
187,842.727
188,841.341
189,841.055
190,851.149
191,846.750
192,848.625
193,839.305
194,835.536
195,836.000
196,831.700
197,829.601
198,831.639
199,828.690
200,828.061
201,844.724
202,838.264
203,834.275
204,829.417
205,826.887
206,825.774
207,824.101
208,821.955
209,820.950
210,821.306
211,821.411
212,834.052
213,829.326
214,828.359
215,823.439
216,826.025
217,822.253
218,818.972
219,818.552
220,815.232
221,813.078
222,812.980
223,827.184
224,825.267
225,818.454
226,817.925
227,813.687
228,816.358
229,811.122
230,810.602
231,806.726
232,808.254
233,807.234
234,817.215
235,814.281
236,809.455
237,808.929
238,806.761
239,800.872
240,803.392
241,802.397
242,799.369
243,798.966
244,798.755
245,808.669
246,806.140
247,804.086
248,799.862
249,797.605
250,795.882
251,793.484
252,793.632
253,792.178
254,789.905
255,793.272
256,802.183
257,801.315
258,796.553
259,792.563
260,795.067
261,788.450
262,787.682
263,787.668
264,785.464
265,784.464
266,783.679
267,795.038
268,794.560
269,793.226
270,788.271
271,787.702
272,785.854
273,781.804
274,782.715
275,780.391
276,777.383
277,778.830
278,787.958
279,785.180
280,782.426
281,778.192
282,778.699
283,777.047
284,774.298
285,778.704
286,775.932
287,772.793
288,776.051
289,783.622
290,782.070
291,779.089
292,779.195
293,778.005
294,776.025
295,772.250
296,774.944
297,770.539
298,767.537
299,768.200
300,782.575
301,779.884
302,778.723
303,773.503
304,771.834
305,766.957
306,769.064
307,771.114
308,767.308
309,767.727
310,768.059
311,779.562
312,774.857
313,771.964
314,768.355
315,766.843
316,767.304
317,765.185
318,764.651
319,763.536
320,760.862
321,761.976
322,771.847
323,772.305
324,767.974
325,765.400
326,762.118
327,760.424
328,759.804
329,757.738
330,757.107
331,756.971
332,753.469
333,767.375
334,763.118
335,759.985
336,759.129
337,759.823
338,756.322
339,755.284
340,754.761
341,753.938
342,753.063
343,749.388
344,761.100
345,760.097
346,757.387
347,754.920
348,752.356
349,752.626
350,747.587
351,747.299
352,746.922
353,747.050
354,746.626
355,752.797
356,754.891
357,750.162
358,749.900
359,745.915
360,742.250
361,742.658
362,742.092
363,741.136
364,741.903
365,741.466
366,748.269
367,747.509
368,746.744
369,744.746
370,745.787
371,742.662
372,738.761
373,740.839
374,738.022
375,735.130
376,732.591
377,744.924
378,740.857
379,740.486
380,736.661
381,734.591
382,733.686
383,731.536
384,727.568
385,728.596
386,727.103
387,728.007
388,738.706
389,736.397
390,736.104
391,733.541
392,730.919
393,728.147
394,728.203
395,726.406
396,723.679
397,723.607
398,722.099
399,731.879
400,729.391
401,729.980
402,726.343
403,723.161
404,721.135
405,719.326
406,717.109
407,718.469
408,716.880
409,712.597
410,725.876
411,726.823
412,721.499
413,718.197
414,718.336
415,717.278
416,717.987
417,715.704
418,714.016
419,715.042
420,713.960
421,724.426
422,719.593
423,717.572
424,718.403
425,716.767
426,714.899
427,714.790
428,713.292
429,711.625
430,712.155
431,710.706
432,718.267
433,718.319
434,716.738
435,714.675
436,712.417
437,711.412
438,711.131
439,707.556
440,707.474
441,705.821
442,707.657
443,717.479
444,714.718
445,712.764
446,713.556
447,708.454
448,707.849
449,708.446
450,706.383
451,705.088
452,704.641
453,706.523
454,715.618
455,708.086
456,709.498
457,705.558
458,705.161
459,703.352
460,701.514
461,700.619
462,701.927
463,702.439
464,702.842
465,708.173
466,706.723
467,704.278
468,701.994
469,699.401
470,697.280
471,699.654
472,697.830
473,695.142
474,696.445
475,696.249
476,704.008
477,702.827
478,701.648
