X,Y
-Infinity,136.710
-Infinity,140.677
-Infinity,143.581
-Infinity,136.613
-Infinity,137.871
-Infinity,136.968
-Infinity,140.355
-Infinity,146.290
-Infinity,138.935
-Infinity,138.968
-Infinity,136.645
-Infinity,138.323
-Infinity,139.097
-Infinity,137.645
-Infinity,135.935
-Infinity,143.935
-Infinity,139.645
-Infinity,138.742
-Infinity,139.032
-Infinity,142.194
-Infinity,144.968
-Infinity,137.516
-Infinity,138.516
-Infinity,141.258
-Infinity,136.968
-Infinity,138.613
-Infinity,140.161
-Infinity,139.000
-Infinity,133.871
-Infinity,138.645
-Infinity,138.484
-Infinity,139.097
-Infinity,146.065
-Infinity,136.548
-Infinity,135.871
-Infinity,139.387
-Infinity,140.355
-Infinity,138.355
-Infinity,140.774
-Infinity,138.677
-Infinity,141.452
-Infinity,139.839
-Infinity,139.677
-Infinity,139.645
-Infinity,141.097
-Infinity,141.258
-Infinity,141.903
-Infinity,136.806
-Infinity,140.290
-Infinity,134.226
-Infinity,141.548
-Infinity,141.032
-Infinity,145.839
-Infinity,139.645
-Infinity,139.613
-Infinity,146.323
-Infinity,141.839
-Infinity,142.065
-Infinity,141.323
-Infinity,134.613
-Infinity,136.935
-Infinity,140.710
-Infinity,142.645
-Infinity,136.323
-Infinity,140.806
-Infinity,141.645
-Infinity,144.677
-Infinity,139.710
-Infinity,140.226
-Infinity,142.065
-Infinity,139.000
-Infinity,143.161
-Infinity,141.226
-Infinity,140.194
-Infinity,139.613
-Infinity,144.452
-Infinity,144.871
-Infinity,142.226
-Infinity,140.419
-Infinity,139.516
-Infinity,141.613
-Infinity,141.129
-Infinity,140.355
-Infinity,144.806
-Infinity,139.968
-Infinity,141.968
-Infinity,141.226
-Infinity,140.806
-Infinity,138.935
-Infinity,138.065
-Infinity,137.935
-Infinity,138.903
-Infinity,146.355
-Infinity,138.032
-Infinity,139.839
-Infinity,139.226
-Infinity,140.194
-Infinity,140.968
-Infinity,142.677
-Infinity,140.161
-Infinity,145.323
-Infinity,139.903
-Infinity,144.548
-Infinity,145.548
-Infinity,137.968
-Infinity,139.710
-Infinity,146.161
-Infinity,144.161
-Infinity,140.516
-Infinity,141.806
-Infinity,143.677
-Infinity,142.387
-Infinity,145.194
-Infinity,142.419
-Infinity,143.484
-Infinity,145.839
-Infinity,143.581
-Infinity,139.677
-Infinity,142.032
-Infinity,146.645
-Infinity,140.645
-Infinity,143.258
-Infinity,142.387
-Infinity,144.839
-Infinity,138.871
-Infinity,144.161
-Infinity,140.387
-Infinity,146.645
-Infinity,146.968
-Infinity,148.903
-Infinity,143.935
-Infinity,147.774
-Infinity,147.968
-Infinity,143.452
-Infinity,142.613
-Infinity,142.194
-Infinity,146.194
-Infinity,145.968
-Infinity,135.677
-Infinity,141.226
-Infinity,141.452
-Infinity,144.355
-Infinity,143.129
-Infinity,145.935
-Infinity,139.419
-Infinity,140.774
-Infinity,144.903
-Infinity,145.194
-Infinity,142.258
-Infinity,136.000
-Infinity,141.387
-Infinity,142.387
-Infinity,139.935
-Infinity,143.419
-Infinity,140.258
-Infinity,144.871
-Infinity,143.161
-Infinity,144.839
-Infinity,140.387
-Infinity,144.355
-Infinity,145.452
-Infinity,137.097
-Infinity,141.290
-Infinity,142.484
-Infinity,143.290
-Infinity,141.258
-Infinity,142.645
-Infinity,140.000
-Infinity,144.226
-Infinity,138.226
-Infinity,145.903
-Infinity,142.871
-Infinity,145.323
-Infinity,139.452
-Infinity,138.774
-Infinity,148.645
